instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,is_hourly,hr
1574,2011-03-11,1,0,3,0,5,1,2,0.34,0.3485,1.0,0.0896,0.0,6,6.0,1,0.0
1575,2011-03-11,1,0,3,0,5,1,3,0.34,0.3485,1.0,0.1045,0.0,8,8.0,1,1.0
1576,2011-03-11,1,0,3,0,5,1,3,0.34,0.3485,1.0,0.1045,2.0,3,5.0,1,2.0
1577,2011-03-11,1,0,3,0,5,1,2,0.32,0.3333,0.93,0.0896,0.0,2,2.0,1,3.0
1578,2011-03-11,1,0,3,0,5,1,1,0.3,0.2879,0.81,0.2239,1.0,6,7.0,1,5.0
1579,2011-03-11,1,0,3,0,5,1,1,0.26,0.2424,0.81,0.2836,1.0,31,32.0,1,6.0
1580,2011-03-11,1,0,3,0,5,1,1,0.26,0.2576,0.7,0.194,10.0,104,114.0,1,7.0
1581,2011-03-11,1,0,3,0,5,1,1,0.28,0.2727,0.7,0.2537,15.0,244,259.0,1,8.0
1582,2011-03-11,1,0,3,0,5,1,2,0.3,0.2879,0.61,0.2836,13.0,143,156.0,1,9.0
1583,2011-03-11,1,0,3,0,5,1,2,0.32,0.303,0.57,0.2985,18.0,60,78.0,1,10.0
1584,2011-03-11,1,0,3,0,5,1,2,0.32,0.303,0.57,0.2985,14.0,67,81.0,1,11.0
1585,2011-03-11,1,0,3,0,5,1,2,0.34,0.3182,0.53,0.2537,15.0,96,111.0,1,12.0
1586,2011-03-11,1,0,3,0,5,1,1,0.36,0.3333,0.53,0.2537,15.0,92,107.0,1,13.0
1587,2011-03-11,1,0,3,0,5,1,2,0.36,0.3333,0.5,0.3582,25.0,64,89.0,1,14.0
1588,2011-03-11,1,0,3,0,5,1,2,0.34,0.3182,0.53,0.2537,21.0,64,85.0,1,15.0
1589,2011-03-11,1,0,3,0,5,1,2,0.34,0.303,0.49,0.2985,18.0,95,113.0,1,16.0
1590,2011-03-11,1,0,3,0,5,1,1,0.34,0.3182,0.49,0.2239,23.0,200,223.0,1,17.0
1591,2011-03-11,1,0,3,0,5,1,1,0.32,0.303,0.49,0.3284,19.0,134,153.0,1,18.0
1592,2011-03-11,1,0,3,0,5,1,1,0.3,0.2727,0.56,0.3284,7.0,111,118.0,1,19.0
1593,2011-03-11,1,0,3,0,5,1,1,0.3,0.303,0.56,0.1642,6.0,70,76.0,1,20.0
1594,2011-03-11,1,0,3,0,5,1,2,0.3,0.2879,0.52,0.2537,10.0,43,53.0,1,21.0
1595,2011-03-11,1,0,3,0,5,1,1,0.3,0.303,0.52,0.1642,11.0,53,64.0,1,22.0
1596,2011-03-11,1,0,3,0,5,1,1,0.3,0.2879,0.52,0.2537,3.0,34,37.0,1,23.0
1597,2011-03-12,1,0,3,0,6,0,1,0.26,0.2727,0.6,0.1343,4.0,30,34.0,1,0.0
1598,2011-03-12,1,0,3,0,6,0,1,0.24,0.2273,0.65,0.194,3.0,15,18.0,1,1.0
1599,2011-03-12,1,0,3,0,6,0,1,0.24,0.2273,0.65,0.194,0.0,14,14.0,1,2.0
1600,2011-03-12,1,0,3,0,6,0,1,0.24,0.2273,0.65,0.2537,1.0,6,7.0,1,3.0
1601,2011-03-12,1,0,3,0,6,0,1,0.24,0.2273,0.65,0.2537,0.0,1,1.0,1,4.0
1602,2011-03-12,1,0,3,0,6,0,1,0.22,0.2273,0.69,0.194,0.0,2,2.0,1,5.0
1603,2011-03-12,1,0,3,0,6,0,1,0.22,0.2121,0.75,0.2537,2.0,2,4.0,1,6.0
1604,2011-03-12,1,0,3,0,6,0,1,0.24,0.2273,0.7,0.194,4.0,19,23.0,1,7.0
1605,2011-03-12,1,0,3,0,6,0,1,0.26,0.2576,0.65,0.1642,9.0,44,53.0,1,8.0
1606,2011-03-12,1,0,3,0,6,0,1,0.28,0.2879,0.65,0.1045,25.0,76,101.0,1,9.0
1607,2011-03-12,1,0,3,0,6,0,1,0.32,0.303,0.66,0.2239,21.0,78,99.0,1,10.0
1608,2011-03-12,1,0,3,0,6,0,1,0.34,0.303,0.49,0.3284,36.0,83,119.0,1,11.0
1609,2011-03-12,1,0,3,0,6,0,1,0.34,0.3182,0.53,0.2836,51.0,107,158.0,1,12.0
1610,2011-03-12,1,0,3,0,6,0,1,0.36,0.3333,0.51,0.3582,62.0,95,157.0,1,13.0
1611,2011-03-12,1,0,3,0,6,0,1,0.4,0.4091,0.5,0.4478,70.0,96,166.0,1,14.0
1612,2011-03-12,1,0,3,0,6,0,1,0.42,0.4242,0.44,0.4775,81.0,101,182.0,1,15.0
1613,2011-03-12,1,0,3,0,6,0,1,0.46,0.4545,0.41,0.4478,100.0,144,244.0,1,16.0
1614,2011-03-12,1,0,3,0,6,0,1,0.46,0.4545,0.44,0.3284,99.0,114,213.0,1,17.0
1615,2011-03-12,1,0,3,0,6,0,1,0.42,0.4242,0.54,0.1642,54.0,91,145.0,1,18.0
1616,2011-03-12,1,0,3,0,6,0,1,0.42,0.4242,0.54,0.0896,26.0,86,112.0,1,19.0
1617,2011-03-12,1,0,3,0,6,0,1,0.4,0.4091,0.58,0.1045,22.0,64,86.0,1,20.0
1618,2011-03-12,1,0,3,0,6,0,1,0.38,0.3939,0.62,0.0,36.0,46,82.0,1,21.0
1619,2011-03-12,1,0,3,0,6,0,1,0.36,0.3788,0.71,0.0,7.0,56,63.0,1,22.0
1620,2011-03-12,1,0,3,0,6,0,1,0.38,0.3939,0.66,0.0896,11.0,38,49.0,1,23.0
1621,2011-03-13,1,0,3,0,0,0,1,0.38,0.3939,0.62,0.1045,3.0,35,38.0,1,0.0
1622,2011-03-13,1,0,3,0,0,0,1,0.36,0.3485,0.66,0.1343,10.0,23,33.0,1,1.0
1623,2011-03-13,1,0,3,0,0,0,1,0.34,0.3333,0.76,0.1343,6.0,17,23.0,1,3.0
1624,2011-03-13,1,0,3,0,0,0,1,0.34,0.3333,0.66,0.1642,4.0,9,13.0,1,4.0
1625,2011-03-13,1,0,3,0,0,0,1,0.36,0.3485,0.62,0.1343,0.0,3,3.0,1,5.0
1626,2011-03-13,1,0,3,0,0,0,1,0.34,0.3636,0.66,0.0,0.0,2,2.0,1,6.0
1627,2011-03-13,1,0,3,0,0,0,1,0.36,0.3485,0.62,0.194,2.0,8,10.0,1,7.0
1628,2011-03-13,1,0,3,0,0,0,1,0.4,0.4091,0.5,0.2985,11.0,23,34.0,1,8.0
1629,2011-03-13,1,0,3,0,0,0,1,0.4,0.4091,0.5,0.4179,8.0,36,44.0,1,9.0
1630,2011-03-13,1,0,3,0,0,0,1,0.42,0.4242,0.47,0.2537,36.0,86,122.0,1,10.0
1631,2011-03-13,1,0,3,0,0,0,1,0.44,0.4394,0.41,0.4179,88.0,93,181.0,1,11.0
1632,2011-03-13,1,0,3,0,0,0,1,0.46,0.4545,0.38,0.3881,74.0,120,194.0,1,12.0
1633,2011-03-13,1,0,3,0,0,0,1,0.46,0.4545,0.38,0.3881,97.0,124,221.0,1,13.0
1634,2011-03-13,1,0,3,0,0,0,1,0.46,0.4545,0.41,0.2985,114.0,106,250.0,1,14.0
1635,2011-03-13,1,0,3,0,0,0,1,0.48,0.4697,0.39,0.3284,114.0,155,304.0,1,15.0
1636,2011-03-13,1,0,3,0,0,0,1,0.46,0.4545,0.41,0.3881,114.0,132,256.0,1,16.0
1637,2011-03-13,1,0,3,0,0,0,1,0.44,0.4394,0.41,0.3582,98.0,143,241.0,1,17.0
1638,2011-03-13,1,0,3,0,0,0,1,0.4,0.4091,0.43,0.3582,55.0,92,147.0,1,18.0
1639,2011-03-13,1,0,3,0,0,0,1,0.36,0.3333,0.5,0.3582,28.0,73,101.0,1,19.0
1640,2011-03-13,1,0,3,0,0,0,1,0.32,0.303,0.57,0.2985,23.0,54,77.0,1,20.0
1641,2011-03-13,1,0,3,0,0,0,1,0.3,0.2879,0.56,0.2537,9.0,49,58.0,1,21.0
1642,2011-03-13,1,0,3,0,0,0,1,0.3,0.2727,0.56,0.3284,8.0,29,37.0,1,22.0
1643,2011-03-13,1,0,3,0,0,0,1,0.26,0.2576,0.65,0.2239,5.0,23,28.0,1,23.0
1644,2011-03-14,1,0,3,0,1,1,1,0.26,0.2727,0.65,0.1045,4.0,7,11.0,1,0.0
1645,2011-03-14,1,0,3,0,1,1,1,0.26,0.2879,0.65,0.0896,0.0,1,1.0,1,1.0
1646,2011-03-14,1,0,3,0,1,1,1,0.26,0.2879,0.65,0.0896,0.0,1,1.0,1,2.0
1647,2011-03-14,1,0,3,0,1,1,1,0.26,0.2727,0.65,0.1343,0.0,3,3.0,1,3.0
1648,2011-03-14,1,0,3,0,1,1,1,0.24,0.2424,0.7,0.1343,0.0,8,8.0,1,5.0
1649,2011-03-14,1,0,3,0,1,1,1,0.26,0.2727,0.65,0.1343,1.0,27,28.0,1,6.0
1650,2011-03-14,1,0,3,0,1,1,2,0.28,0.3182,0.61,0.0,4.0,84,88.0,1,7.0
1651,2011-03-14,1,0,3,0,1,1,2,0.3,0.303,0.56,0.1343,24.0,217,241.0,1,8.0
1652,2011-03-14,1,0,3,0,1,1,1,0.32,0.303,0.53,0.3284,13.0,127,140.0,1,9.0
1653,2011-03-14,1,0,3,0,1,1,1,0.34,0.3182,0.42,0.2537,27.0,57,84.0,1,10.0
1654,2011-03-14,1,0,3,0,1,1,1,0.36,0.3333,0.4,0.2537,26.0,45,71.0,1,11.0
1655,2011-03-14,1,0,3,0,1,1,1,0.38,0.3939,0.37,0.0,40.0,54,94.0,1,12.0
1656,2011-03-14,1,0,3,0,1,1,1,0.38,0.3939,0.36,0.3284,24.0,51,75.0,1,13.0
1657,2011-03-14,1,0,3,0,1,1,2,0.38,0.3939,0.34,0.0,27.0,52,79.0,1,14.0
1658,2011-03-14,1,0,3,0,1,1,1,0.38,0.3939,0.37,0.1642,24.0,77,101.0,1,15.0
1659,2011-03-14,1,0,3,0,1,1,1,0.4,0.4091,0.35,0.1045,27.0,80,107.0,1,16.0
1660,2011-03-14,1,0,3,0,1,1,1,0.38,0.3939,0.4,0.194,42.0,229,271.0,1,17.0
1661,2011-03-14,1,0,3,0,1,1,1,0.36,0.3636,0.4,0.1045,25.0,210,235.0,1,18.0
1662,2011-03-14,1,0,3,0,1,1,1,0.36,0.3485,0.43,0.1343,17.0,133,150.0,1,19.0
1663,2011-03-14,1,0,3,0,1,1,1,0.34,0.3182,0.46,0.2239,23.0,106,129.0,1,20.0
1664,2011-03-14,1,0,3,0,1,1,1,0.34,0.3333,0.46,0.1343,5.0,58,63.0,1,21.0
1665,2011-03-14,1,0,3,0,1,1,1,0.32,0.3333,0.49,0.1045,4.0,43,47.0,1,22.0
1666,2011-03-14,1,0,3,0,1,1,1,0.32,0.3485,0.53,0.0,2.0,17,19.0,1,23.0
1667,2011-03-15,1,0,3,0,2,1,1,0.32,0.3485,0.53,0.0,7.0,7,14.0,1,0.0
1668,2011-03-15,1,0,3,0,2,1,1,0.3,0.303,0.62,0.0896,4.0,6,10.0,1,1.0
1669,2011-03-15,1,0,3,0,2,1,1,0.3,0.303,0.62,0.0896,1.0,2,3.0,1,2.0
1670,2011-03-15,1,0,3,0,2,1,1,0.24,0.2576,0.75,0.0896,1.0,1,2.0,1,4.0
1671,2011-03-15,1,0,3,0,2,1,1,0.24,0.2273,0.75,0.194,0.0,11,11.0,1,5.0
1672,2011-03-15,1,0,3,0,2,1,1,0.22,0.2273,0.8,0.194,3.0,32,35.0,1,6.0
1673,2011-03-15,1,0,3,0,2,1,1,0.24,0.2424,0.75,0.1642,10.0,109,119.0,1,7.0
1674,2011-03-15,1,0,3,0,2,1,1,0.26,0.2879,0.7,0.0896,23.0,259,282.0,1,8.0
1675,2011-03-15,1,0,3,0,2,1,2,0.3,0.3333,0.7,0.0,10.0,147,157.0,1,9.0
1676,2011-03-15,1,0,3,0,2,1,2,0.32,0.3182,0.66,0.194,22.0,56,78.0,1,10.0
1677,2011-03-15,1,0,3,0,2,1,2,0.34,0.3182,0.57,0.2239,27.0,51,78.0,1,11.0
1678,2011-03-15,1,0,3,0,2,1,2,0.36,0.3485,0.5,0.2239,32.0,70,102.0,1,12.0
1679,2011-03-15,1,0,3,0,2,1,2,0.36,0.3333,0.57,0.2836,23.0,74,97.0,1,13.0
1680,2011-03-15,1,0,3,0,2,1,2,0.38,0.3939,0.46,0.2985,14.0,74,88.0,1,14.0
1681,2011-03-15,1,0,3,0,2,1,2,0.38,0.3939,0.43,0.2836,24.0,66,90.0,1,15.0
1682,2011-03-15,1,0,3,0,2,1,2,0.38,0.3939,0.46,0.3284,21.0,93,114.0,1,16.0
1683,2011-03-15,1,0,3,0,2,1,2,0.36,0.3485,0.62,0.194,22.0,195,217.0,1,17.0
1684,2011-03-15,1,0,3,0,2,1,2,0.36,0.3333,0.62,0.2985,18.0,207,225.0,1,18.0
1685,2011-03-15,1,0,3,0,2,1,2,0.34,0.3182,0.71,0.2836,14.0,138,152.0,1,19.0
1686,2011-03-15,1,0,3,0,2,1,2,0.34,0.3182,0.71,0.2836,9.0,79,88.0,1,20.0
1687,2011-03-15,1,0,3,0,2,1,3,0.32,0.3333,0.81,0.1045,2.0,53,55.0,1,21.0
1688,2011-03-15,1,0,3,0,2,1,2,0.32,0.3182,0.87,0.1642,1.0,20,21.0,1,22.0
1689,2011-03-15,1,0,3,0,2,1,2,0.32,0.3182,0.87,0.1642,1.0,17,18.0,1,23.0
1690,2011-03-16,1,0,3,0,3,1,3,0.3,0.2879,0.93,0.2537,0.0,8,8.0,1,0.0
1691,2011-03-16,1,0,3,0,3,1,3,0.3,0.2727,1.0,0.2985,1.0,2,3.0,1,1.0
1692,2011-03-16,1,0,3,0,3,1,2,0.28,0.2727,1.0,0.2239,1.0,2,3.0,1,3.0
1693,2011-03-16,1,0,3,0,3,1,2,0.3,0.303,0.93,0.1642,0.0,1,1.0,1,4.0
1694,2011-03-16,1,0,3,0,3,1,2,0.3,0.3182,0.93,0.1045,0.0,3,3.0,1,5.0
1695,2011-03-16,1,0,3,0,3,1,2,0.3,0.3182,0.93,0.1045,1.0,30,31.0,1,6.0
1696,2011-03-16,1,0,3,0,3,1,2,0.3,0.2879,0.93,0.194,10.0,101,111.0,1,7.0
1697,2011-03-16,1,0,3,0,3,1,2,0.32,0.3182,0.93,0.0,26.0,227,253.0,1,8.0
1698,2011-03-16,1,0,3,0,3,1,2,0.32,0.3333,0.93,0.1343,10.0,144,154.0,1,9.0
1699,2011-03-16,1,0,3,0,3,1,2,0.36,0.3485,0.81,0.1642,19.0,49,68.0,1,10.0
1700,2011-03-16,1,0,3,0,3,1,2,0.36,0.3485,0.81,0.1343,13.0,62,75.0,1,11.0
1701,2011-03-16,1,0,3,0,3,1,2,0.4,0.4091,0.71,0.1045,23.0,65,88.0,1,12.0
1702,2011-03-16,1,0,3,0,3,1,2,0.4,0.4091,0.76,0.1343,18.0,81,99.0,1,13.0
1703,2011-03-16,1,0,3,0,3,1,2,0.4,0.4091,0.76,0.2239,33.0,67,100.0,1,14.0
1704,2011-03-16,1,0,3,0,3,1,2,0.4,0.4091,0.76,0.2537,22.0,79,101.0,1,15.0
1705,2011-03-16,1,0,3,0,3,1,2,0.4,0.4091,0.76,0.1642,30.0,121,151.0,1,16.0
1706,2011-03-16,1,0,3,0,3,1,2,0.44,0.4394,0.54,0.2985,37.0,216,253.0,1,17.0
1707,2011-03-16,1,0,3,0,3,1,2,0.44,0.4394,0.54,0.2239,26.0,211,237.0,1,18.0
1708,2011-03-16,1,0,3,0,3,1,2,0.44,0.4394,0.51,0.3284,18.0,150,168.0,1,19.0
1709,2011-03-16,1,0,3,0,3,1,2,0.42,0.4242,0.54,0.2985,10.0,111,121.0,1,20.0
1710,2011-03-16,1,0,3,0,3,1,2,0.42,0.4242,0.58,0.2836,3.0,75,78.0,1,21.0
1711,2011-03-16,1,0,3,0,3,1,2,0.4,0.4091,0.62,0.3881,11.0,48,59.0,1,22.0
1712,2011-03-16,1,0,3,0,3,1,1,0.4,0.4091,0.65,0.194,9.0,18,27.0,1,23.0
1713,2011-03-17,1,0,3,0,4,1,1,0.38,0.3939,0.66,0.2537,4.0,19,23.0,1,0.0
1714,2011-03-17,1,0,3,0,4,1,1,0.36,0.3485,0.71,0.2239,1.0,11,12.0,1,1.0
1715,2011-03-17,1,0,3,0,4,1,1,0.34,0.303,0.71,0.2985,3.0,5,8.0,1,2.0
1716,2011-03-17,1,0,3,0,4,1,1,0.34,0.3333,0.66,0.1642,1.0,1,2.0,1,3.0
1717,2011-03-17,1,0,3,0,4,1,1,0.34,0.3333,0.71,0.194,0.0,3,3.0,1,4.0
1718,2011-03-17,1,0,3,0,4,1,1,0.32,0.3333,0.76,0.1045,0.0,13,13.0,1,5.0
1719,2011-03-17,1,0,3,0,4,1,1,0.32,0.3182,0.76,0.194,4.0,47,51.0,1,6.0
1720,2011-03-17,1,0,3,0,4,1,1,0.32,0.3333,0.76,0.1343,12.0,128,140.0,1,7.0
1721,2011-03-17,1,0,3,0,4,1,1,0.36,0.3485,0.66,0.1343,17.0,282,299.0,1,8.0
1722,2011-03-17,1,0,3,0,4,1,1,0.4,0.4091,0.62,0.2537,23.0,162,185.0,1,9.0
1723,2011-03-17,1,0,3,0,4,1,1,0.44,0.4394,0.54,0.3284,9.0,69,78.0,1,10.0
1724,2011-03-17,1,0,3,0,4,1,1,0.44,0.4394,0.54,0.2836,20.0,66,86.0,1,11.0
1725,2011-03-17,1,0,3,0,4,1,1,0.5,0.4848,0.45,0.2239,24.0,81,105.0,1,12.0
1726,2011-03-17,1,0,3,0,4,1,2,0.52,0.5,0.42,0.0896,26.0,85,111.0,1,13.0
1727,2011-03-17,1,0,3,0,4,1,1,0.5,0.4848,0.45,0.1045,32.0,87,119.0,1,14.0
1728,2011-03-17,1,0,3,0,4,1,1,0.52,0.5,0.42,0.2537,30.0,95,125.0,1,15.0
1729,2011-03-17,1,0,3,0,4,1,1,0.5,0.4848,0.48,0.2836,34.0,108,142.0,1,16.0
1730,2011-03-17,1,0,3,0,4,1,1,0.5,0.4848,0.42,0.194,48.0,265,313.0,1,17.0
1731,2011-03-17,1,0,3,0,4,1,2,0.46,0.4545,0.59,0.1642,50.0,260,310.0,1,18.0
1732,2011-03-17,1,0,3,0,4,1,1,0.44,0.4394,0.58,0.194,18.0,189,207.0,1,19.0
1733,2011-03-17,1,0,3,0,4,1,1,0.42,0.4242,0.67,0.2239,25.0,112,137.0,1,20.0
1734,2011-03-17,1,0,3,0,4,1,1,0.42,0.4242,0.62,0.2239,19.0,119,138.0,1,21.0
1735,2011-03-17,1,0,3,0,4,1,1,0.4,0.4091,0.66,0.2239,17.0,70,87.0,1,22.0
1736,2011-03-17,1,0,3,0,4,1,1,0.42,0.4242,0.62,0.2836,7.0,43,50.0,1,23.0
1737,2011-03-18,1,0,3,0,5,1,1,0.42,0.4242,0.58,0.2836,5.0,24,29.0,1,0.0
1738,2011-03-18,1,0,3,0,5,1,1,0.4,0.4091,0.62,0.2537,4.0,12,16.0,1,1.0
1739,2011-03-18,1,0,3,0,5,1,1,0.4,0.4091,0.62,0.194,5.0,9,14.0,1,2.0
1740,2011-03-18,1,0,3,0,5,1,1,0.36,0.3485,0.71,0.194,1.0,4,5.0,1,3.0
1741,2011-03-18,1,0,3,0,5,1,1,0.38,0.3939,0.66,0.1642,2.0,8,10.0,1,5.0
1742,2011-03-18,1,0,3,0,5,1,1,0.4,0.4091,0.66,0.194,1.0,35,36.0,1,6.0
1743,2011-03-18,1,0,3,0,5,1,1,0.4,0.4091,0.66,0.194,11.0,112,123.0,1,7.0
1744,2011-03-18,1,0,3,0,5,1,1,0.42,0.4242,0.67,0.2537,24.0,256,280.0,1,8.0
1745,2011-03-18,1,0,3,0,5,1,1,0.46,0.4545,0.63,0.2239,18.0,192,210.0,1,9.0
1746,2011-03-18,1,0,3,0,5,1,1,0.52,0.5,0.53,0.2836,43.0,74,117.0,1,10.0
1747,2011-03-18,1,0,3,0,5,1,1,0.54,0.5152,0.52,0.2836,55.0,104,159.0,1,11.0
1748,2011-03-18,1,0,3,0,5,1,2,0.56,0.5303,0.49,0.3582,72.0,123,195.0,1,12.0
1749,2011-03-18,1,0,3,0,5,1,1,0.64,0.6212,0.41,0.2836,57.0,118,175.0,1,13.0
1750,2011-03-18,1,0,3,0,5,1,1,0.66,0.6212,0.39,0.2537,71.0,103,174.0,1,14.0
1751,2011-03-18,1,0,3,0,5,1,2,0.68,0.6364,0.39,0.3582,62.0,111,173.0,1,15.0
1752,2011-03-18,1,0,3,0,5,1,1,0.68,0.6364,0.39,0.2836,67.0,137,204.0,1,16.0
1753,2011-03-18,1,0,3,0,5,1,1,0.7,0.6364,0.37,0.3284,95.0,237,332.0,1,17.0
1754,2011-03-18,1,0,3,0,5,1,1,0.68,0.6364,0.39,0.1642,84.0,247,331.0,1,18.0
1755,2011-03-18,1,0,3,0,5,1,1,0.66,0.6212,0.44,0.1343,58.0,132,190.0,1,19.0
1756,2011-03-18,1,0,3,0,5,1,1,0.62,0.6212,0.46,0.1343,46.0,103,149.0,1,20.0
1757,2011-03-18,1,0,3,0,5,1,1,0.62,0.6212,0.46,0.1045,22.0,91,113.0,1,21.0
1758,2011-03-18,1,0,3,0,5,1,1,0.62,0.6212,0.5,0.1642,55.0,63,118.0,1,22.0
1759,2011-03-18,1,0,3,0,5,1,2,0.6,0.6212,0.53,0.2239,26.0,60,86.0,1,23.0
1760,2011-03-19,1,0,3,0,6,0,2,0.6,0.6212,0.53,0.2537,26.0,50,76.0,1,0.0
1761,2011-03-19,1,0,3,0,6,0,2,0.58,0.5455,0.46,0.3582,16.0,35,51.0,1,1.0
1762,2011-03-19,1,0,3,0,6,0,2,0.56,0.5303,0.43,0.2239,5.0,20,25.0,1,2.0
1763,2011-03-19,1,0,3,0,6,0,2,0.54,0.5152,0.39,0.3284,1.0,7,8.0,1,3.0
1764,2011-03-19,1,0,3,0,6,0,1,0.52,0.5,0.34,0.4179,1.0,2,3.0,1,4.0
1765,2011-03-19,1,0,3,0,6,0,1,0.52,0.5,0.34,0.4179,0.0,2,2.0,1,5.0
1766,2011-03-19,1,0,3,0,6,0,1,0.44,0.4394,0.44,0.4179,0.0,10,10.0,1,6.0
1767,2011-03-19,1,0,3,0,6,0,1,0.4,0.4091,0.5,0.3284,4.0,9,13.0,1,7.0
1768,2011-03-19,1,0,3,0,6,0,1,0.42,0.4242,0.47,0.4775,11.0,37,48.0,1,8.0
1769,2011-03-19,1,0,3,0,6,0,1,0.42,0.4242,0.44,0.4627,35.0,41,76.0,1,9.0
1770,2011-03-19,1,0,3,0,6,0,1,0.44,0.4394,0.38,0.4179,55.0,85,140.0,1,10.0
1771,2011-03-19,1,0,3,0,6,0,1,0.46,0.4545,0.36,0.4478,90.0,106,196.0,1,11.0
1772,2011-03-19,1,0,3,0,6,0,1,0.46,0.4545,0.33,0.4179,114.0,141,267.0,1,12.0
1773,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.34,0.4627,114.0,127,301.0,1,13.0
1774,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.31,0.4775,114.0,144,312.0,1,14.0
1775,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.29,0.4179,114.0,143,313.0,1,15.0
1776,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.31,0.3881,114.0,129,304.0,1,16.0
1777,2011-03-19,1,0,3,0,6,0,1,0.48,0.4697,0.31,0.3284,114.0,140,278.0,1,17.0
1778,2011-03-19,1,0,3,0,6,0,1,0.46,0.4545,0.31,0.3284,92.0,125,217.0,1,18.0
1779,2011-03-19,1,0,3,0,6,0,1,0.44,0.4394,0.33,0.2836,38.0,116,154.0,1,19.0
1780,2011-03-19,1,0,3,0,6,0,1,0.42,0.4242,0.35,0.2239,39.0,69,108.0,1,20.0
1781,2011-03-19,1,0,3,0,6,0,1,0.4,0.4091,0.37,0.2985,20.0,73,93.0,1,21.0
1782,2011-03-19,1,0,3,0,6,0,1,0.4,0.4091,0.37,0.3284,27.0,45,72.0,1,22.0
1783,2011-03-19,1,0,3,0,6,0,1,0.38,0.3939,0.4,0.2985,13.0,37,50.0,1,23.0
1784,2011-03-20,1,0,3,0,0,0,1,0.34,0.303,0.49,0.4179,7.0,33,40.0,1,0.0
1785,2011-03-20,1,0,3,0,0,0,1,0.32,0.2879,0.53,0.3582,2.0,22,24.0,1,1.0
1786,2011-03-20,1,0,3,0,0,0,1,0.3,0.2879,0.52,0.2836,6.0,24,30.0,1,2.0
1787,2011-03-20,1,0,3,0,0,0,1,0.28,0.2727,0.56,0.2537,1.0,11,12.0,1,3.0
1788,2011-03-20,1,0,3,0,0,0,1,0.26,0.2576,0.56,0.2239,2.0,1,3.0,1,4.0
1789,2011-03-20,1,0,3,0,0,0,1,0.26,0.2576,0.6,0.194,3.0,6,9.0,1,5.0
1790,2011-03-20,1,0,3,0,0,0,1,0.26,0.2576,0.6,0.2239,1.0,3,4.0,1,6.0
1791,2011-03-20,1,0,3,0,0,0,1,0.24,0.2273,0.6,0.2239,5.0,9,14.0,1,7.0
1792,2011-03-20,1,0,3,0,0,0,1,0.28,0.2727,0.56,0.1642,7.0,30,37.0,1,8.0
1793,2011-03-20,1,0,3,0,0,0,1,0.3,0.303,0.52,0.1343,35.0,43,78.0,1,9.0
1794,2011-03-20,1,0,3,0,0,0,2,0.32,0.3485,0.45,0.0,55.0,81,136.0,1,10.0
1795,2011-03-20,1,0,3,0,0,0,1,0.34,0.3485,0.39,0.1045,92.0,111,203.0,1,11.0
1796,2011-03-20,1,0,3,0,0,0,1,0.36,0.3636,0.4,0.1045,114.0,108,228.0,1,12.0
1797,2011-03-20,1,0,3,0,0,0,1,0.38,0.3939,0.34,0.0,88.0,115,203.0,1,13.0
1798,2011-03-20,1,0,3,0,0,0,1,0.4,0.4091,0.3,0.0,114.0,134,279.0,1,14.0
1799,2011-03-20,1,0,3,0,0,0,1,0.4,0.4091,0.32,0.0896,114.0,136,308.0,1,15.0
1800,2011-03-20,1,0,3,0,0,0,1,0.42,0.4242,0.32,0.0,92.0,132,224.0,1,16.0
1801,2011-03-20,1,0,3,0,0,0,1,0.4,0.4091,0.35,0.2836,83.0,143,226.0,1,17.0
1802,2011-03-20,1,0,3,0,0,0,1,0.38,0.3939,0.4,0.3582,58.0,98,156.0,1,18.0
1803,2011-03-20,1,0,3,0,0,0,1,0.36,0.3333,0.43,0.2836,21.0,58,79.0,1,19.0
1804,2011-03-20,1,0,3,0,0,0,1,0.36,0.3333,0.46,0.2836,21.0,46,67.0,1,20.0
1805,2011-03-20,1,0,3,0,0,0,2,0.34,0.3182,0.53,0.2836,10.0,39,49.0,1,21.0
1806,2011-03-20,1,0,3,0,0,0,2,0.34,0.303,0.53,0.3284,8.0,30,38.0,1,22.0
1807,2011-03-20,1,0,3,0,0,0,3,0.34,0.303,0.61,0.3881,13.0,11,24.0,1,23.0
1808,2011-03-21,2,0,3,0,1,1,3,0.34,0.303,0.66,0.3881,2.0,11,13.0,1,0.0
1809,2011-03-21,2,0,3,0,1,1,2,0.34,0.303,0.71,0.3881,1.0,6,7.0,1,1.0
1810,2011-03-21,2,0,3,0,1,1,2,0.34,0.303,0.71,0.3284,1.0,5,6.0,1,2.0
1811,2011-03-21,2,0,3,0,1,1,2,0.34,0.303,0.71,0.3284,0.0,1,1.0,1,3.0
1812,2011-03-21,2,0,3,0,1,1,1,0.32,0.303,0.81,0.2985,1.0,1,2.0,1,5.0
1813,2011-03-21,2,0,3,0,1,1,3,0.32,0.303,0.76,0.2537,2.0,30,32.0,1,6.0
1814,2011-03-21,2,0,3,0,1,1,3,0.3,0.2727,0.87,0.4179,3.0,15,18.0,1,7.0
